,mean,mean_se,mean_ci_lower,mean_ci_upper
2025-10-01,96.75183810905872,38.0853266793532,22.105969478083992,171.39770674003347
2025-11-01,77.51278437993899,41.205456821062384,-3.248426955863593,158.2739957157416
2025-12-01,48.28515690558356,41.78853360860033,-33.61886393401471,130.18917774518184
2026-01-01,113.93123425555764,41.93444221686736,31.741237798721627,196.12123071239364
2026-02-01,131.6550396765008,41.99168787873414,49.352843784134734,213.95723556886685
2026-03-01,147.7054848697693,42.023794004917136,65.34036212640147,230.0706076131371
2026-04-01,143.13340824751657,42.046188073789715,60.72439393569118,225.54242255934196
2026-05-01,146.6929536692127,42.06481526850482,64.24743072661268,229.13847661181273
2026-06-01,113.64809320533608,42.08198609468437,31.168916061839354,196.1272703488328
2026-07-01,132.01358266424472,42.09860205794674,49.50183883118531,214.52532649730415
2026-08-01,135.37684287226858,42.1150155805548,52.83292912603794,217.92075661849924
2026-09-01,108.18194658099696,42.1313648095299,25.605988934800124,190.75790422719382
